scientific_name	strain	gcf_accession	refseq_category	phylum	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Aestuariibaculum lutulentum	L182	GCF_032926325.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aestuariibaculum	Aestuariibaculum lutulentum	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Aestuariispira ectoiniformans	SWCN16	GCF_025136295.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Aestuariispiraceae	Aestuariispira	Aestuariispira ectoiniformans	soil/water	aerobe	non_gut	non_pathogenic
Affinirhizobium rhizoryzae	DSM 29514	GCF_011046895.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Affinirhizobium	Affinirhizobium rhizoryzae	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Affinundibacterium cyanobacteriorum	20NA77.5	GCF_031326225.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Affinundibacterium	Affinundibacterium cyanobacteriorum	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Afipia carboxidovorans OM5	OM5	GCF_000218565.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia	Afipia carboxidovorans	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Agarilytica rhodophyticola	017	GCF_002157225.2	reference genome	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Agarilytica	Agarilytica rhodophyticola	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Agarivorans albus	JCM 21469	GCF_019670105.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agarivorans	Agarivorans albus	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Agathobacter rectalis	VPI 0990	GCF_022453685.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Aggregatibacter aphrophilus ATCC 33389	NCTC 5906	GCF_900636915.1	reference genome	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus	human oral/clinical	facultative_anaerobe	non_gut	pathogen (human)
Aggregatimonas sangjinii	F202Z8	GCF_005943945.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aggregatimonas	Aggregatimonas sangjinii	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
